Province/State,Country/Region,Lat,Long,date,confirmed,deaths,recovered
,Afghanistan,33.00000,65.00000,1/22/20,0.00000,-1.00000,-1.00000
,Albania,41.15330,20.16830,1/22/20,0.00000,-1.00000,-1.00000
,Algeria,28.03390,1.65960,1/22/20,0.00000,-1.00000,-1.00000
,Andorra,42.50630,1.52180,1/22/20,0.00000,-1.00000,-1.00000
,Angola,-11.20270,17.87390,1/22/20,0.00000,-1.00000,-1.00000
,Antigua and Barbuda,17.06080,-61.79640,1/22/20,0.00000,-1.00000,-1.00000
,Argentina,-38.41610,-63.61670,1/22/20,0.00000,-1.00000,-1.00000
,Armenia,40.06910,45.03820,1/22/20,0.00000,-1.00000,-1.00000
Australian Capital Territory,Australia,-35.47350,149.01240,1/22/20,0.00000,-1.00000,-1.00000
New South Wales,Australia,-33.86880,151.20930,1/22/20,0.00000,-1.00000,-1.00000
Northern Territory,Australia,-12.46340,130.84560,1/22/20,0.00000,-1.00000,-1.00000
Queensland,Australia,-28.01670,153.40000,1/22/20,0.00000,-1.00000,-1.00000
South Australia,Australia,-34.92850,138.60070,1/22/20,0.00000,-1.00000,-1.00000
Tasmania,Australia,-41.45450,145.97070,1/22/20,0.00000,-1.00000,-1.00000
Victoria,Australia,-37.81360,144.96310,1/22/20,0.00000,-1.00000,-1.00000
Western Australia,Australia,-31.95050,115.86050,1/22/20,0.00000,-1.00000,-1.00000
,Austria,47.51620,14.55010,1/22/20,0.00000,-1.00000,-1.00000
,Azerbaijan,40.14310,47.57690,1/22/20,0.00000,-1.00000,-1.00000
,Bahamas,25.03430,-77.39630,1/22/20,0.00000,-1.00000,-1.00000
,Bahrain,26.02750,50.55000,1/22/20,0.00000,-1.00000,-1.00000
,Bangladesh,23.68500,90.35630,1/22/20,0.00000,-1.00000,-1.00000
,Barbados,13.19390,-59.54320,1/22/20,0.00000,-1.00000,-1.00000
,Belarus,53.70980,27.95340,1/22/20,0.00000,-1.00000,-1.00000
,Belgium,50.83330,4.00000,1/22/20,0.00000,-1.00000,-1.00000
,Benin,9.30770,2.31580,1/22/20,0.00000,-1.00000,-1.00000
,Bhutan,27.51420,90.43360,1/22/20,0.00000,-1.00000,-1.00000
,Bolivia,-16.29020,-63.58870,1/22/20,0.00000,-1.00000,-1.00000
,Bosnia and Herzegovina,43.91590,17.67910,1/22/20,0.00000,-1.00000,-1.00000
,Brazil,-14.23500,-51.92530,1/22/20,0.00000,-1.00000,-1.00000
,Brunei,4.53530,114.72770,1/22/20,0.00000,-1.00000,-1.00000
,Bulgaria,42.73390,25.48580,1/22/20,0.00000,-1.00000,-1.00000
,Burkina Faso,12.23830,-1.56160,1/22/20,0.00000,-1.00000,-1.00000
,Cabo Verde,16.53880,-23.04180,1/22/20,0.00000,-1.00000,-1.00000
,Cambodia,11.55000,104.91670,1/22/20,0.00000,-1.00000,-1.00000
,Cameroon,3.84800,11.50210,1/22/20,0.00000,-1.00000,-1.00000
Alberta,Canada,53.93330,-116.57650,1/22/20,0.00000,-1.00000,-1.00000
British Columbia,Canada,49.28270,-123.12070,1/22/20,0.00000,-1.00000,-1.00000
Grand Princess,Canada,37.64890,-122.66550,1/22/20,0.00000,-1.00000,-1.00000
Manitoba,Canada,53.76090,-98.81390,1/22/20,0.00000,-1.00000,-1.00000
New Brunswick,Canada,46.56530,-66.46190,1/22/20,0.00000,-1.00000,-1.00000
Newfoundland and Labrador,Canada,53.13550,-57.66040,1/22/20,0.00000,-1.00000,-1.00000
Nova Scotia,Canada,44.68200,-63.74430,1/22/20,0.00000,-1.00000,-1.00000
Ontario,Canada,51.25380,-85.32320,1/22/20,0.00000,-1.00000,-1.00000
Prince Edward Island,Canada,46.51070,-63.41680,1/22/20,0.00000,-1.00000,-1.00000
Quebec,Canada,52.93990,-73.54910,1/22/20,0.00000,-1.00000,-1.00000
